data = new data.materials.CompositionDataset 
data import datasets/bandgap.data 
	Imported 25212 entries
data filter exclude ContainsElementFilter He Ne Ar Kr Xe 
	Filtered using a ContainsElementFilter. New size: 25186
data attributes properties directory magpie/Lookup Data/ 
data attributes properties add set general 
	Added 22 new properties.
data attributes generate 
	Generated 145 attributes.
data target bandgap 
	Set target property to bandgap. 101 entries were removed.
model = new models.regression.SplitRegression 
clfr = new models.classification.WekaClassifier meta.RandomSubSpace -W weka.classifiers.trees.REPTree -S 66 -- -N 7 -S 66 
model splitter PredictedClassIntervalSplitter $clfr 0 1.5 3 
submodel = new models.regression.SplitRegression 
submodel splitter MultipleElementGroupsSplitter "F Cl Br I At" "O S Se Te Po" "N P As Sb Bi" 
leaf = new models.regression.WekaRegression meta.RandomSubSpace -W weka.classifiers.trees.REPTree -S 66 -- -N 7 -S 66 
submodel submodel set generic $leaf 
model submodel set 0 $leaf 
model submodel set generic $submodel 
model train $data 
model crossvalidate $data 10 
print model training stats 

Variable: model - Command: training stats
Number Tested: 25085
Pearson's Correlation (R): 0.9655
Spearman's Correlation (Rho): 0.8942
Kendall's Correlation (Tau): 0.7896
MAE: 2.1735e-01
RMSE: 4.5280e-01
MRE: NaN
ROC AUC: 0.9771

print model validation stats 

Variable: model - Command: validation stats
Number Tested: 25085
Pearson's Correlation (R): 0.9138
Spearman's Correlation (Rho): 0.8571
Kendall's Correlation (Tau): 0.7229
MAE: 3.4514e-01
RMSE: 7.0665e-01
MRE: NaN
ROC AUC: 0.9450

testset = data split 0.1 
	Split off 2508 entries from dataset
model train $data 
model run $testset 
stats = new analytics.TargetRegressionStatistics 1.3 -accept 0.4 -window 1.0 -cands 30 
stats evaluate $testset 
	Calculated statistics from 2508 entries
print stats stats 

Variable: stats
Number Tested: 2508
Pearson's Correlation (R): 0.8620
Spearman's Correlation (Rho): 0.7084
Kendall's Correlation (Tau): 0.5841
MAE: 2.7591e-01
RMSE: 5.2290e-01
MRE: 0.6939
ROC AUC: 0.7863

print stats roc 

Variable: stats
      Value	        FPR	Sensitivity
1.00000e-03	0.00000e+00	0.00000e+00
3.28370e-01	2.23272e-02	2.51397e-01
4.59550e-01	4.54545e-02	3.76033e-01
5.90905e-01	5.38813e-02	5.37736e-01
7.51385e-01	6.33635e-02	6.16137e-01
8.59652e-01	7.61347e-02	7.08061e-01
9.58474e-01	9.22306e-02	7.66082e-01
1.07458e+00	1.09907e-01	8.07018e-01
1.18975e+00	1.39094e-01	8.44262e-01
1.23131e+00	1.70732e-01	8.72990e-01
1.26936e+00	2.08311e-01	9.03328e-01
1.28108e+00	2.50133e-01	9.32070e-01
1.28685e+00	2.97759e-01	9.38486e-01
1.28978e+00	3.46318e-01	9.46372e-01
1.29192e+00	4.19957e-01	9.47950e-01
1.29254e+00	5.09072e-01	9.49527e-01
1.29254e+00	5.09072e-01	9.49527e-01
1.29287e+00	7.70544e-01	9.49527e-01
1.29287e+00	7.70544e-01	9.49527e-01
1.29287e+00	7.70544e-01	9.49527e-01
1.29287e+00	7.70544e-01	9.49527e-01
1.29287e+00	7.70544e-01	9.49527e-01
2.12376e+00	1.22093e-01	9.57024e-01
2.40921e+00	2.10884e-01	9.69738e-01
2.76286e+00	3.26531e-01	9.83208e-01
3.82595e+00	3.01724e-01	9.89130e-01
7.63500e+00	1.00000e+00	1.00000e+00


print stats window 

Variable: stats
 Window Size	 # Inside Window	  Frac Below Tol
 5.00000e-02	               4	  2.50000000e-01
 1.00000e-01	               5	  2.00000000e-01
 1.50000e-01	               7	  4.28571429e-01
 2.00000e-01	              28	  6.42857143e-01
 2.50000e-01	              52	  6.15384615e-01
 3.00000e-01	              80	  5.25000000e-01
 3.50000e-01	             115	  5.21739130e-01
 4.00000e-01	             150	  4.86666667e-01
 4.50000e-01	             181	  4.64088398e-01
 5.00000e-01	             228	  4.60526316e-01
 5.50000e-01	             262	  4.58015267e-01
 6.00000e-01	             294	  4.52380952e-01
 6.50000e-01	             325	  4.36923077e-01
 7.00000e-01	             357	  4.14565826e-01
 7.50000e-01	             382	  3.92670157e-01
 8.00000e-01	             414	  3.76811594e-01
 8.50000e-01	             466	  3.54077253e-01
 9.00000e-01	             525	  3.42857143e-01
 9.50000e-01	             569	  3.23374341e-01
 1.00000e+00	             608	  3.10855263e-01


print stats rank 

Variable: stats
Candidates	  Mean Error	 # Below Tol
         2	 1.48650e+00	           0
         3	 1.08700e+00	           1
         5	 1.17220e+00	           1
         6	 1.00700e+00	           2
         8	 7.89125e-01	           4
         9	 7.44778e-01	           5
        11	 6.27545e-01	           7
        12	 5.76833e-01	           8
        14	 5.60929e-01	           9
        15	 5.50067e-01	          10
        17	 5.20882e-01	          11
        18	 5.64167e-01	          11
        20	 5.11200e-01	          13
        21	 4.90619e-01	          14
        23	 5.22478e-01	          14
        24	 5.55875e-01	          14
        26	 5.25808e-01	          16
        27	 5.19889e-01	          17
        29	 4.87414e-01	          19
        30	 4.91467e-01	          19


save model models/baseModels/bandgap_model_seed66 
	Serialized model to models/baseModels/bandgap_model_seed66.obj
template = data clone -empty 
save template datasets/bandgap_dataTemplate 
	Serialized template to datasets/bandgap_dataTemplate.obj
timer elapsed 
	Total time elapsed: 131.592 s
exit 
